-5,000000 . 0,095163 . FinalFunction;
-4,900000 . 0,037340 . FinalFunction;
-4,800000 . 0,007775 . FinalFunction;
-4,700000 . 0,000154 . FinalFunction;
-4,600000 . 0,012901 . FinalFunction;
-4,500000 . 0,048664 . FinalFunction;
-4,400000 . 0,115185 . FinalFunction;
-4,300000 . 0,228012 . FinalFunction;
-4,200000 . 0,416518 . FinalFunction;
-4,100000 . 0,737001 . FinalFunction;
-4,000000 . 1,302422 . FinalFunction;
-3,900000 . 2,355206 . FinalFunction;
-3,800000 . 4,463908 . FinalFunction;
-3,700000 . 9,126995 . FinalFunction;
-3,600000 . 20,970981 . FinalFunction;
-3,500000 . 57,918990 . FinalFunction;
-3,400000 . 219,194034 . FinalFunction;
-3,300000 . 1574,804380 . FinalFunction;
-3,200000 . 85829,426527 . FinalFunction;
-3,100000 . 333950,400228 . FinalFunction;
-3,000000 . 2471,207493 . FinalFunction;
-2,900000 . 287,739508 . FinalFunction;
-2,800000 . 70,500069 . FinalFunction;
-2,700000 . 24,499098 . FinalFunction;
-2,600000 . 10,397518 . FinalFunction;
-2,500000 . 5,003167 . FinalFunction;
-2,400000 . 2,612114 . FinalFunction;
-2,300000 . 1,435621 . FinalFunction;
-2,200000 . 0,810555 . FinalFunction;
-2,100000 . 0,459043 . FinalFunction;
-2,000000 . 0,253320 . FinalFunction;
-1,900000 . 0,130337 . FinalFunction;
-1,800000 . 0,057393 . FinalFunction;
-1,700000 . 0,017166 . FinalFunction;
-1,600000 . 0,000854 . FinalFunction;
-1,500000 . 0,005054 . FinalFunction;
-1,400000 . 0,030633 . FinalFunction;
-1,300000 . 0,083010 . FinalFunction;
-1,200000 . 0,173996 . FinalFunction;
-1,100000 . 0,326155 . FinalFunction;
-1,000000 . 0,582260 . FinalFunction;
-0,900000 . 1,026275 . FinalFunction;
-0,800000 . 1,832993 . FinalFunction;
-0,700000 . 3,396355 . FinalFunction;
-0,600000 . 6,701424 . FinalFunction;
-0,500000 . 14,577778 . FinalFunction;
-0,400000 . 36,890213 . FinalFunction;
-0,300000 . 119,664135 . FinalFunction;
-0,200000 . 616,577710 . FinalFunction;
-0,100000 . 9966,577760 . FinalFunction;
-0,000000 . 899067191504313200000000000000000000000000000000000000000000,000000 . FinalFunction;
0,100000 . 6,962344 . FinalFunction;
0,200000 . 3,401529 . FinalFunction;
0,300000 . 1,903545 . FinalFunction;
0,400000 . 1,102546 . FinalFunction;
0,500000 . 0,630932 . FinalFunction;
0,600000 . 0,342670 . FinalFunction;
0,700000 . 0,167062 . FinalFunction;
0,800000 . 0,065388 . FinalFunction;
0,900000 . 0,014578 . FinalFunction;
1,000000 . 0,000000 . FinalFunction;
1,100000 . 0,011929 . FinalFunction;
1,200000 . 0,043652 . FinalFunction;
1,300000 . 0,090394 . FinalFunction;
1,400000 . 0,148673 . FinalFunction;
1,500000 . 0,215894 . FinalFunction;
1,600000 . 0,290091 . FinalFunction;
1,700000 . 0,369755 . FinalFunction;
1,800000 . 0,453703 . FinalFunction;
1,900000 . 0,541009 . FinalFunction;
2,000000 . 0,630932 . FinalFunction;
2,100000 . 0,722877 . FinalFunction;
2,200000 . 0,816373 . FinalFunction;
2,300000 . 0,911018 . FinalFunction;
2,400000 . 1,006497 . FinalFunction;
2,500000 . 1,102546 . FinalFunction;
2,600000 . 1,198958 . FinalFunction;
2,700000 . 1,295539 . FinalFunction;
2,800000 . 1,392145 . FinalFunction;
2,900000 . 1,488652 . FinalFunction;
3,000000 . 1,584958 . FinalFunction;
3,100000 . 1,680991 . FinalFunction;
3,200000 . 1,776654 . FinalFunction;
3,300000 . 1,871899 . FinalFunction;
3,400000 . 1,966675 . FinalFunction;
3,500000 . 2,060941 . FinalFunction;
3,600000 . 2,154688 . FinalFunction;
3,700000 . 2,247847 . FinalFunction;
3,800000 . 2,340413 . FinalFunction;
3,900000 . 2,432369 . FinalFunction;
4,000000 . 2,523700 . FinalFunction;
4,100000 . 2,614426 . FinalFunction;
4,200000 . 2,704485 . FinalFunction;
4,300000 . 2,793895 . FinalFunction;
4,400000 . 2,882652 . FinalFunction;
4,500000 . 2,970754 . FinalFunction;
4,600000 . 3,058235 . FinalFunction;
4,700000 . 3,145034 . FinalFunction;
4,800000 . 3,231181 . FinalFunction;
4,900000 . 3,316679 . FinalFunction;
5,000000 . 3,401529 . FinalFunction;
